College of Science,CS,"Legazpi City, Albay"
College of Arts and Letters,CAL,"Legazpi City, Albay"
College of Nursing,CN,"Legazpi City, Albay"
College of Law,CL,"Legazpi City, Albay"
College of Engineering,CENG,"Legazpi City, Albay"
Institute of Design and Architeture,IDeA,"Legazpi City, Albay"
College of Industrial Technology,CIT,"Legazpi City, Albay"
College of Education,CE,"Daraga, Albay"
"Institute of Physical Education, Sports and Recreation",IPESR,"Daraga, Albay"
College of Medicine,CM,"Daraga, Albay"
Graduate School,GS,"Daraga, Albay"
College of Social Sciences and Philosophy,CSSP,"Daraga, Albay"
"College of Business, Economics and Management",CBEM,"Daraga, Albay"
Jesse M. Robredo Institute of Governance and Development,JMRIGD,"Daraga, Albay"
College of Agriculture and Forestry,CAF,"Guinobatan, Albay"
Gubat Campus,GC,"Gubat, Sorsogon"
Polangui Campus,PC,"Polangui, Albay"
Tabaco Campus,TC,"Tabaco, Albay"
